answer,correct_answer,score
Will Smith,Will Smith,1
Nick Nolte,Nick Nolte,1
Gary Oldman,Gary Oldman,1
Will Farrel,Will Ferrell,0.94
Hugh Jackman,Hugh Jackman,1
Anne Hathaway,Anne Hathaway,1
Ben Afleck,Ben Affleck,0.986
Russel Crowe,Russell Crowe,0.986
Sean Penn,Sean Penn,1
Greg Kineer,Greg Kinnear,0.971
Juliette Moore,Julianne Moore,0.855
Ed Burns,Ed Burns,1
Jack NIcholson,Jack Nicholson,1
Judy Dench,Judi Dench,0.953
Steve Martin,Steve Martin,1
William Hurt,William Hurt,1
Elizabeth Shue,Elisabeth Shue,0.963
Bill Pullman,Bill Pullman,1
Jennifer Connely,Jennifer Connelly,0.998
Toby McGuire,Tobey Maguire,0.898
Christopher Plumber,Christopher Plummer,0.994
Catherine Zeta Jones,Catherine Zeta-Jones,0.99
Peter Gallagher,Peter Gallagher,1
Liv Tyler,Liv Tyler,1
Bridgette Fonda,Bridget Fonda,0.976
John Turtoro,John Turturro,0.966
Albert Brooks,Albert Brooks,1
Alfred Molina,Alfred Molina,1
Jesica Chastaine,Jessica Chastain,0.894
Pearce Brosnan,Pierce Brosnan,0.956
Hellen Merin,Helen Mirren,0.936
Rickey Gervais,Ricky Gervais,0.946
Jude Law,Jude Law,1
Ed Haris ,Ed Harris,0.97
John voight,Jon Voight,0.923
Mira sorvino ,Mira Sorvino,1
Macaulay calkin ,Macaulay Culkin,0.953
Val Kilmer ,Val Kilmer,1
Jane fonda,Jane Fonda,1
Danny devito,Danny DeVito,1
James woods,James Woods,1
Ian Holm,Ian Holm,1
Jodi Foster,Jodie Foster,0.921
Rosanna Arquette,Rosanna Arquette,1
Sarah Jesica Parker,Sarah Jessica Parker,0.991
Dennis Miller,Dennis Miller,1
Marisa Tomei,Marisa Tomei,1
Owen WIlson,Owen Wilson,1
Michael Fasbender,Michael Fassbender,0.993
Beau Bridges,Beau Bridges,1
Anna Paquin,Anna Paquin,1
Malcolm McDowell,Malcolm McDowell,1
Dennis Leary,Denis Leary,0.979
Frank Langella,Frank Langella,1
Kate Holmes,Kate Hudson,0.898
Chevy Chase,Chevy Chase,1
Kirstin Dunst,Kirsten Dunst,0.968
Jeremy Renner,Jeremy Renner,1
Rob Schnider,Rob Schneider,0.979
Alan Arkin,Alan Arkin,1
Ewan McGreggor,Ewan McGregor,0.995
Sam Shepard,Sam Shepard,1
Billy Crystal,Billy Crystal,1
Danny Glover,Danny Glover,1
Tommy Lee Jones,Tommy Lee Jones,1
Daniel Craig,Daniel Craig,1
Kevin James,Kevin James,1
Jason Bateman,Jason Bateman,1
Demi Moore,Demi Moore,1
Zack Gallifanikis,Zach Galifianakis,0.917
Steve correl,Steve Carell,0.917
Daniel Radcliffe,Daniel Radcliffe,1
Goldie Hawn,Goldie Hawn,1
Clive Owen,Clive Owen,1
Ellen Barkin,Ellen Barkin,1
Rob Schnider,Rob Schneider,0.979
Kim Bassinger,Kim Basinger,0.988
Brad Pitt,Brad Pitt,1
Emily Blunt,Emily Blunt,1
Amanda Peet,Amanda Peet,1
Keano Reves,Keanu Reeves,0.921
Ben Kingsly,Ben Kingsley,0.995
Mike Myers,Mike Myers,1
Jude Law,Jude Law,1
Oliver Platt,Oliver Platt,1
Rosanna Arquette,Rosanna Arquette,1
Mary Steenburgen,Mary Steenburgen,1
Jonny Depp,Johnny Depp,0.975
Jennifer Aniston,Jennifer Aniston,1
Halle Berry,Halle Berry,1
MIra Sorvino,Mira Sorvino,1
Emma Stone,Emma Stone,1
Jamie Bell,Jamie Bell,1
Tom Hardy,Tom Hardy,1
Jeffrey Rush ,Geoffrey Rush,0.897
James Gandolfini,James Gandolfini,1
David Hasselhoff,David Hasselhoff,1
Jamie Lee Curtis,Jamie Lee Curtis,1
Paul Dano,Paul Dano,1
Bill Cosby,Bill Cosby,1
Liv Tyler,Liv Tyler,1
Sam Shepard,Sam Shepard,1
Danny Glover,Danny Glover,1
Kurt Russel,Kurt Russell,0.998
burt Reynolds,Burt Reynolds,1
Anthony Hoplins,Anthony Hopkins,0.988
Roger MOore,Roger Moore,1
Albert Finney,Albert Finney,1
Jack Nicholsen,Jack Nicholson,0.993
Albert Brooks,Albert Brooks,1
Rober De Niro,Robert De Niro,0.985
Daniel Day Lewis,Daniel Day-Lewis,0.984
Emma Thompson,Emma Thompson,1
Julia Roberts,Julia Roberts,1
Joakim Pheonix,Joaquin Phoenix,0.864
Geoffrey Rush,Geoffrey Rush,1
Selma Hayek,Salma Hayek,0.854
Sharon Stone,Sharon Stone,1
Debra Winger,Debra Winger,1
Will Smith,Will Smith,1
Adrien Brody,Adrien Brody,1
Patricia Arquette,Patricia Arquette,1
Paul Giamatti,Paul Giamatti,1
Seth Rogan,Seth Rogen,0.987
Michale Keeton,Michael Keaton,0.953
Emma Watson,Emma Watson,1
Ben Kingsley,Ben Kingsley,1
Roger Moore,Roger Moore,1
Peter Coyote,Peter Coyote,1
Tracy Ullman,Tracey Ullman,0.982
Philip Seymore HOffman,Philip Seymour Hoffman,0.972
Nick Nolte,Nick Nolte,1
Sylvester Stalone,Sylvester Stallone,0.996
Jack Black,Jack Black,1
Charlie Sheen,Charlie Sheen,1
Jill Clayburg,Jill Clayburgh,0.998
Danny Devito,Danny DeVito,1
Bill PUllman,Bill Pullman,1
Val Kilmer,Val Kilmer,1
Andy Garcia,Andy Garcia,1
Rickey Gervais,Ricky Gervais,0.946
Nicole Kiddman,Nicole Kidman,0.993
Helen Mirren,Helen Mirren,1
Gwenneth Paltro,Gwyneth Paltrow,0.901
Mary Louise Parker,Mary-Louise Parker,0.925
Sygourney Weaver,Sigourney Weaver,0.898
Kevin James,Kevin James,1
George Lopez,George Lopez,1
Donald Sutherland,Donald Sutherland,1
Steven Segal,Steven Seagal,0.984
Natalie Portman,Natalie Portman,1
Peirce Brosnan,Pierce Brosnan,0.978
Willem Dafoe,Willem Dafoe,1
Jeremy Irons,Jeremy Irons,1
Anne Hathaway,Anne Hathaway,1
David Schwimmer,David Schwimmer,1
Rene Russo,Rene Russo,1
Jack Black,Jack Black,1
Kate Hudson,Kate Hudson,1
Keira Knightly,Keira Knightley,0.997
Jeff Goldblum,Jeff Goldblum,1
Tom Hanks,Tom Hanks,1
Chevy Chase,Chevy Chase,1
Orlando Bloom,Orlando Bloom,1
Danny Devito,Danny DeVito,1
Val Kilmer,Val Kilmer,1
Sylvester Stalone,Sylvester Stallone,0.996
Alec Baldwin,Alec Baldwin,1
Michael Fassbender,Michael Fassbender,1
Sidney Poitier,Sidney Poitier,1
Christian Bale,Christian Bale,1
Maggie Gyllenhall,Maggie Gyllenhaal,0.995
Eddie Murphy,Eddie Murphy,1
Ben Stiller,Ben Stiller,1
Emma Stone,Emma Stone,1
Sam Worthington,Sam Worthington,1
William Hurt,William Hurt,1
Timothy Dalton,Timothy Dalton,1
Hope Davis,Hope Davis,1
Daniel Craig,Daniel Craig,1
Jeff Bridges,Jeff Bridges,1
Mira Sorvino,Mira Sorvino,1
Andie McDowell,Andie MacDowell,0.988
Brad Pitt,Brad Pitt,1
Mary Steenburgen,Mary Steenburgen,1
Benecio Del Torro,Benicio Del Toro,0.914
Chris Rock,Chris Rock,1
Helen Hunt,Helen Hunt,1
Jesica Chastain,Jessica Chastain,0.911
Kate Winslet,Kate Winslet,1
Michael J. Fox,Michael J. Fox,1
Halle Berry,Halle Berry,1
Brooke Shields,Brooke Shields,1
Sean Penn,Sean Penn,1
Dennis Hopper,Dennis Hopper,1
Anne Hathaway,Anne Hathaway,1
Brendan Fraiser,Brendan Fraser,0.994
Willem Defoe,Willem Dafoe,0.971
Peter Gallagher,Peter Gallagher,1
Robin Williams,Robin Williams,1
Leonardo De Capprio,Leonardo DiCaprio,0.946
Hugh Grant,Hugh Grant,1
Arnold Schwartzenegger,Arnold Schwarzenegger,0.994
Michael Shannon,Michael Shannon,1
Lucy Liu,Lucy Liu,1
Philip Seymour Hoffman,Philip Seymour Hoffman,1
Adam Sandler,Adam Sandler,1
Ben Affleck,Ben Affleck,1
Bradley Cooper,Bradley Cooper,1
Jack Black,Jack Black,1
Candice Bergen,Candice Bergen,1
Kelly Mcdonald,Kelly MacDonald,0.936
Gabriel Byrne,Gabriel Byrne,1
Al Pacino,Al Pacino,1
Jeff Bridges,Jeff Bridges,1
Mickey Rourke,Mickey Rourke,1
Sarah Jessica Parker,Sarah Jessica Parker,1
Antonio Banderas,Antonio Banderas,1
Dennis miller,Dennis Miller,1
Mary Louise Parker,Mary-Louise Parker,0.925
Jane Fonda,Jane Fonda,1
Jessica Chastain,Jessica Chastain,1
John C. Reilly,John C. Reilly,1
Kristin Scott Thomas,Kristin Scott Thomas,1
Vanessa Redgrave,Vanessa Redgrave,1
Kevin Costner,Kevin Costner,1
Robert Downey Jr.,Robert Downey Jr.,1
Sean Penn,Sean Penn,1
Michael Douglas,Michael Douglas,1
Dan Akyroid,Dan Aykroyd,0.949
Jackie Chan,Jackie Chan,1
Rosanna Arquette,Rosanna Arquette,1
Julia Roberts,Julia Roberts,1
Helena Bonham-Carter,Helena Bonham Carter,0.988
Orlando Bloom,Orlando Bloom,1
Liam  Neeson,Liam Neeson,1
John Cusak,John Cusack,0.994
Jim Belushi,Jim Belushi,1
Steven Segal,Steven Seagal,0.984
Christopher Plumber,Christopher Plummer,0.994
Kyle Mcglaughlan,Kyle MacLachlan,0.889
Jonny Depp,Johnny Depp,0.975
Penelope Cruise,Penelope Cruz,0.982
Frank Langellea,Frank Langella,0.997
David Spade,David Spade,1
Cameron Diaz,Cameron Diaz,1
Jane Fonda,Jane Fonda,1
Gene Hackman,Gene Hackman,1
Jeremy Renner,Jeremy Renner,1
Malcolm McDowell,Malcolm McDowell,1
Ralph Finness,Ralph Fiennes,0.97
Angelina Jolie,Angelina Jolie,1
Russell Crowe,Russell Crowe,1
Bill Murray,Bill Murray,1
Billy Crystal,Billy Crystal,1
Rachel McAdams,Rachel McAdams,1
Anthony Quinn,Anthony Quinn,1
Tilda Swinton,Tilda Swinton,1
Matthew Broderick,Matthew Broderick,1
Angelina Jolie,Angelina Jolie,1
Bill Cosby,Bill Cosby,1
Don Cheedle,Don Cheadle,0.966
Sam Worthington,Sam Worthington,1
Ben Kingsly,Ben Kingsley,0.995
Liev Schrieber,Liev Schreiber,0.991
Miranda Richardson,Miranda Richardson,1
Jon Hamm,Jon Hamm,1
Martin Lawrence,Martin Lawrence,1
Jeff Bridges,Jeff Bridges,1
Selma Hayek,Salma Hayek,0.854
Viggo MOrtenson,Viggo Mortensen,0.938
Jeff Goldblum,Jeff Goldblum,1
Halle Berry,Halle Berry,1
Collin Firth,Colin Firth,0.979
Jill Clayberg,Jill Clayburgh,0.979
Robert De Niro,Robert De Niro,1
Jude Law,Jude Law,1
Scarlette Johansen,Scarlett Johansson,0.959
Martin Sheen,Martin Sheen,1
Kelly Mcdonald,Kelly MacDonald,0.936
Jeff Daniels,Jeff Daniels,1
Kristin Scott Thomas,Kristin Scott Thomas,1
Rosie Perez,Rosie Perez,1
Robert Duval,Robert Duvall,0.998
Collin Farrel,Colin Farrell,0.961
Vince Vaughn,Vince Vaughn,1
Jimmy Smits,Jimmy Smits,1
Mira Sorvino,Mira Sorvino,1
Alan Rickman,Alan Rickman,1
Michael Fassbender,Michael Fassbender,1
Clive Owen,Clive Owen,1
Jack Nicholsen,Jack Nicholson,0.993
Winona Ryder,Winona Ryder,1
Christopher Walken,Christopher Walken,1
Cathy bates,Kathy Bates,0.879
Burt Reynolds,Burt Reynolds,1
Jamie Lee Curtis,Jamie Lee Curtis,1
Dustin Hoffman,Dustin Hoffman,1
Tom Hardy,Tom Hardy,1
Meg Ryan,Meg Ryan,1
Salma Hayek,Salma Hayek,1
Toni Colette,Toni Collette,0.99
Rob Schnider,Rob Schneider,0.979
Maggie Gyllenhaal,Maggie Gyllenhaal,1
Debra Winger,Debra Winger,1
Cate Blanchette,Cate Blanchett,0.999
Kyle McGlaughlan,Kyle MacLachlan,0.889
John Malcovitch,John Malkovich,0.944
George Clooney,George Clooney,1
Kirstin Dunst,Kirsten Dunst,0.968
Sean PEnn,Sean Penn,1
Gary Sineese,Gary Sinise,0.96
Sidney Poitier,Sidney Poitier,1
John Leguzamo,John Leguizamo,0.991
Martin Sheen,Martin Sheen,1
Joe Pesci,Joe Pesci,1
Zach Galifinakis,Zach Galifianakis,0.986
Andie Macdowel,Andie MacDowell,0.973
Christopher Walkin,Christopher Walken,0.996
Ewin McGreggor,Ewan McGregor,0.937
Bradley Cooper,Bradley Cooper,1
Winona Ryder,Winona Ryder,1
Chris Cooper,Chris Cooper,1
Helena Bonham Carter,Helena Bonham Carter,1
Isabella Rosselini,Isabella Rossellini,0.996
Sylvester Stalone,Sylvester Stallone,0.996
Kim Bassinger,Kim Basinger,0.988
Candice Bergan,Candice Bergen,0.993
Michael Douglas,Michael Douglas,1
Jim Carey,Jim Carrey,0.99
Candice Bergan,Candice Bergen,0.993
John Leguizamo,John Leguizamo,1
Jonny Depp,Johnny Depp,0.975
Ellen Barkin,Ellen Barkin,1
Joan Cusak,Joan Cusack,0.994
Ellen Page,Ellen Page,1
Eva Mendes,Eva Mendes,1
Martin Sheen,Martin Sheen,1
Arnold Schwarzenegger,Arnold Schwarzenegger,1
Tim Blake Nelson,Tim Blake Nelson,1
Sam Worthington,Sam Worthington,1
Christopher Waltz,Christoph Waltz,0.982
Cate Blanchette,Cate Blanchett,0.999
Nicholas Cage,Nicholas Cage,1
Keiffer Sutherland,Kiefer Sutherland,0.964
Albert Brooks,Albert Brooks,1
Amy Adams,Amy Adams,1
Willem Dafoe,Willem Dafoe,1
Matthew Broderick,Matthew Broderick,1
Tom Arnold,Tom Arnold,1
Mark Wahlburg,Mark Wahlberg,0.988
Bill Pullman,Bill Pullman,1
Debra Winger,Debra Winger,1
Arnold Schwartzeneger,Arnold Schwarzenegger,0.988
Stanley Tucci,Stanley Tucci,1
Kevin Bacon,Kevin Bacon,1
Helen Miren,Helen Mirren,0.993
Paul Dano,Paul Dano,1
Tilda Swinton,Tilda Swinton,1
Benecio Del Toro,Benicio Del Toro,0.93
Rob Schnider,Rob Schneider,0.979
Daniel Craig,Daniel Craig,1
Jeremy Wright,Jeffrey Wright,0.937
Donald Sutherland,Donald Sutherland,1
Jamie Bell,Jamie Bell,1
Oliver Platt,Oliver Platt,1
Ed Harris,Ed Harris,1
Orlando Bloom,Orlando Bloom,1
John Travolta,John Travolta,1
Chris Rock,Chris Rock,1
Steve Carrel,Steve Carell,0.986
Kenau Reeves,Keanu Reeves,0.977
Paul Newman,Paul Newman,1
Alan Arkin,Alan Arkin,1
Jonah Hill,Jonah Hill,1
Anette Benning,Annette Bening,0.937
Peter Coyote,Peter Coyote,1
Christian Bale,Christian Bale,1
Will Farrel,Will Ferrell,0.94
MIckey Rhorke,Mickey Rourke,0.905
Kevin Costner,Kevin Costner,1
Al Pacino,Al Pacino,1
Harrison Ford,Harrison Ford,1
Miranda Richardson,Miranda Richardson,1
Javier Bardem,Javier Bardem,1
Sygourney Weaver,Sigourney Weaver,0.898
Tim Blake Nelson,Tim Blake Nelson,1
Dan Akyroyd,Dan Aykroyd,0.983
Kevin James,Kevin James,1
Tom Hanks,Tom Hanks,1
Jason Bateman,Jason Bateman,1
Anna Paquin,Anna Paquin,1
Natalie Portman,Natalie Portman,1
Brendan Fraiser,Brendan Fraser,0.994
Amanda Peet,Amanda Peet,1
Dennis LEary,Denis Leary,0.936
Naomi Watts,Naomi Watts,1
Minnie Driver,Minnie Driver,1
Sylvester Stalone,Sylvester Stallone,0.996
Owen Wilson,Owen Wilson,1
Elizabeth Perkins,Elizabeth Perkins,1
Ralph Finnes,Ralph Fiennes,0.979
Antonio Banderas,Antonio Banderas,1
Christian Slater,Christian Slater,1
John Cusack,John Cusack,1
Benecio Del Toro,Benicio Del Toro,0.93
Ben Afleck,Ben Affleck,0.986
Penople Cruise,Penelope Cruz,0.855
Liv Tyler,Liv Tyler,1
Marion Cottelard,Marion Cotillard,0.969
Kevin Spacy,Kevin Spacey,0.995
Jennifer Lopez,Jennifer Lopez,1
Reese Witherspoon,Reese Witherspoon,1
Brian Cox,Brian Cox,1
Lindsay Lohan,Lindsay Lohan,1
Tracy Ullman,Tracey Ullman,0.982
Jamie Bell,Jamie Bell,1
Alan Alsa,Alan Alda,0.978
Amy Adams,Amy Adams,1
Antonio Banderas,Antonio Banderas,1
Kate Hudson,Kate Hudson,1
Goldie Hawn,Goldie Hawn,1
Gabriel Byrne,Gabriel Byrne,1
Sandra Bullock,Sandra Bullock,1
Matt Damon,Matt Damon,1
Harrison Ford,Harrison Ford,1
Vanessa Redgrave,Vanessa Redgrave,1
Billy Crystal,Billy Crystal,1
FOrest Whittiker,Forest Whitaker,0.9
Kurt Russel,Kurt Russell,0.998
Juaquin Pheonix,Joaquin Phoenix,0.914
Liv Tyler,Liv Tyler,1
Christoph Waltz,Christoph Waltz,1
Morgan Freeman,Morgan Freeman,1
Jeremy Irons,Jeremy Irons,1
Eddie Murphy,Eddie Murphy,1
Val Kilmer,Val Kilmer,1
Mark Wahlburg,Mark Wahlberg,0.988
Elizabeth Shue,Elisabeth Shue,0.963
Kate Hudson,Kate Hudson,1
Jill Clayburg,Jill Clayburgh,0.998
Jeff Goldblum,Jeff Goldblum,1
Lindsay Lohan,Lindsay Lohan,1
Antonio Banderas,Antonio Banderas,1
Michael Shannon,Michael Shannon,1
Danny GLover,Danny Glover,1
Tom Cruise,Tom Cruise,1
Owen WIlson,Owen Wilson,1
Viggo Mortensen,Viggo Mortensen,1
Emma Thompson,Emma Thompson,1
Larua Dern,Laura Dern,0.973
Kevin Bacon,Kevin Bacon,1
Denis Leary,Denis Leary,1
Holly Hunter,Holly Hunter,1
Paul Dano,Paul Dano,1
Alan Rickman,Alan Rickman,1
Miney Driver,Minnie Driver,0.893
Jane Fonda,Jane Fonda,1
Julia Roberts,Julia Roberts,1
Jackie Chan,Jackie Chan,1
Drew Barrimore,Drew Barrymore,0.983
Geoffrey Rush,Geoffrey Rush,1
Beau Bridges,Beau Bridges,1
Ed Burns,Ed Burns,1
David Hasselhoff,David Hasselhoff,1
Gene Hackman,Gene Hackman,1
Toni Colette,Toni Collette,0.99
Russel Crowe,Russell Crowe,0.986
Andie McDowel,Andie MacDowell,0.976
Sarah Jessica Parker,Sarah Jessica Parker,1
Peter Gallagher,Peter Gallagher,1
Steven Segal,Steven Seagal,0.984
Jamie Foxx,Jamie Foxx,1
Chevy Chase,Chevy Chase,1
Daniel Radcliffe,Daniel Radcliffe,1
Rosanna Arquette,Rosanna Arquette,1
Scarlette Johanson,Scarlett Johansson,0.979
Julianne MOore,Julianne Moore,1
Jennifer Jason Leigh,Jennifer Jason Leigh,1
John Hawks,John Hawkes,0.994
Catherine Zeta Jones,Catherine Zeta-Jones,0.99
Jeff Bridges,Jeff Bridges,1
Nick NOlte,Nick Nolte,1
Kevin James,Kevin James,1
Christopher Walkin,Christopher Walken,0.996
Christopher Plummer,Christopher Plummer,1
Mike Myers,Mike Myers,1
Rene Russo,Rene Russo,1
Anna Paquin,Anna Paquin,1
Daniel Dey Lewis,Daniel Day-Lewis,0.946
Ann Hathaway,Anne Hathaway,0.98
Helene Boham Carter,Helena Bonham Carter,0.906
Brad Pitt,Brad Pitt,1
Joaquim Pheonix,Joaquin Phoenix,0.945
Christian Bale,Christian Bale,1
Andy Garicia,Andy Garcia,0.981
Macauley Calkin,Macaulay Culkin,0.945
Vanessa Redgrave,Vanessa Redgrave,1
Geoffrey Rush,Geoffrey Rush,1
Jill Clayburg,Jill Clayburgh,0.998
Kim Bassinger,Kim Basinger,0.988
Jon Voight,Jon Voight,1
Jamie Bell,Jamie Bell,1
Mel Gibson,Mel Gibson,1
Michael Fasbender,Michael Fassbender,0.993
Philip Seymour Hoffman,Philip Seymour Hoffman,1
Richard Gere,Richard Gere,1
Cathy Bates,Kathy Bates,0.939
Woody Allen,Woody Allen,1
Matt Damon,Matt Damon,1
Michael J. Fox,Michael J. Fox,1
Drew Barrymore,Drew Barrymore,1
Nicole Kiddman,Nicole Kidman,0.993
Elijah Wood,Elijah Wood,1
Bill Cosby,Bill Cosby,1
Jeff Daniels,Jeff Daniels,1
Jude Law,Jude Law,1
Jim Baluchi\,Jim Belushi,0.916
Colin Firth,Colin Firth,1
Seth Rogen,Seth Rogen,1
John Goodman,John Goodman,1
Sean Conery,Sean Connery,0.991
Naomi Watts,Naomi Watts,1
George Lopez,George Lopez,1
Glenn Close,Glenn Close,1
Daniel Craig,Daniel Craig,1
Barbara Hershey,Barbara Hershey,1
Martin Lawrance,Martin Lawrence,0.982
Hellen Miren,Helen Mirren,0.958
Timmothy Dalton,Timothy Dalton,0.982
Demi Moore,Demi Moore,1
Jackie Chan,Jackie Chan,1
Kyle Mcgloghlan,Kyle MacLachlan,0.875
Ben Stiller,Ben Stiller,1
Keano Reeves,Keanu Reeves,0.963
Joe Pesci,Joe Pesci,1
Anthony Quinn,Anthony Quinn,1
Jerry Lewis,Jerry Lewis,1
Kenneth Brannaugh,Kenneth Branagh,0.988
Malcolm Mcdowell,Malcolm McDowell,1
Liev Schriber,Liev Schreiber,0.982
James Woods,James Woods,1
Scarlet Johansan,Scarlett Johansson,0.953
Geoffrey Rush,Geoffrey Rush,1
Brooks Shields,Brooke Shields,0.936
Andy Garcia,Andy Garcia,1
Jospeh Gordon Levitt,Joseph Gordon-Levitt,0.957
Sylvester Stalone,Sylvester Stallone,0.996
Robert Redford,Robert Redford,1
Beau Bridgews,Beau Bridges,0.996
Forest Witaker,Forest Whitaker,0.99
Albert Brooks,Albert Brooks,1
Steve Martin,Steve Martin,1
Chevy Chase,Chevy Chase,1
Jill Clayburg,Jill Clayburgh,0.998
George Lopez,George Lopez,1
Ben Kingsly,Ben Kingsley,0.995
Minnie Driver,Minnie Driver,1
Jennifer Lawrence,Jennifer Lawrence,1
Rachel McAdams,Rachel McAdams,1
Emily Blunt,Emily Blunt,1
Ed Harris,Ed Harris,1
Ed BUrns,Ed Burns,1
Keano Reeves,Keanu Reeves,0.963
Albert Finney,Albert Finney,1
Peter O'Toole,Peter O'toole,1
Colin Firth,Colin Firth,1
Keira Knightly,Keira Knightley,0.997
Daniel Craig,Daniel Craig,1
Guy Peirce,Guy Pearce,0.973
Jeff Daniels,Jeff Daniels,1
Naomi Watts,Naomi Watts,1
Sam Worthington,Sam Worthington,1
Mathew Broderick,Matthew Broderick,0.984
Mary Louise Parker,Mary-Louise Parker,0.925
Lindsay Lohan,Lindsay Lohan,1
Tommy Lee Jones,Tommy Lee Jones,1
Mickey Rhorke,Mickey Rourke,0.98
Mark Ruffalo,Mark Ruffalo,1
Gary Oldman,Gary Oldman,1
Eddie Murphy,Eddie Murphy,1
Val Kilmer,Val Kilmer,1
Rosey Perez,Rosie Perez,0.956
Jack Black,Jack Black,1
Jeremy Irons,Jeremy Irons,1
Luxy Liu,Lucy Liu,0.933
Anna Paquin,Anna Paquin,1
Patricia Arquette,Patricia Arquette,1
Richard Gere,Richard Gere,1
Greg Kinear,Greg Kinnear,0.991
Eve Mendes,Eva Mendes,0.858
John Turtoro,John Turturro,0.966
Jeffrey Wright,Jeffrey Wright,1
Laura Linney,Laura Linney,1
Winona Ryder,Winona Ryder,1
Holly Hunter,Holly Hunter,1
Barbara Hershey,Barbara Hershey,1
Ellen Page,Ellen Page,1
Ryan Reynolds,Ryan Reynolds,1
Philip Seymour Hoffman,Philip Seymour Hoffman,1
Anthony Hopkins,Anthony Hopkins,1
Emme Thompson,Emma Thompson,0.961
Zack Galifinakis,Zach Galifianakis,0.932
Julia Roberts,Julia Roberts,1
Bill Cosby,Bill Cosby,1
Kevin Costner,Kevin Costner,1
Colin Farrel,Colin Farrell,0.998
Daniel Radcliffe,Daniel Radcliffe,1
Rene Zelwegger,Renee Zellweger,0.875
Caterine Keener,Catherine Keener,0.983
Merrly Streep,Meryl Streep,0.938
jack black,Jack Black,1
miranda Richardson,Miranda Richardson,1
Steve Martin,Steve Martin,1
Lyndsay Lowhan,Lindsay Lohan,0.88
Greg linear,Greg Kinnear,0.95
Mira sorvino,Mira Sorvino,1
Jennifer Lopez ,Jennifer Lawrence,0.915
Andy Garcia ,Andy Garcia,1
Ben Affleck ,Ben Affleck,1
Liam Neeson ,Liam Neeson,1
Blythe danner ,Blythe Danner,1
Michael Keaton,Michael Keaton,1
Rene Russo,Rene Russo,1
Robert Downey Jr.,Robert Downey Jr.,1
Kate Hudson,Kate Hudson,1
Pearce Brosnan,Pierce Brosnan,0.956
Kyle McGlauhlan,Kyle MacLachlan,0.903
Tobey Mcguire,Tobey Maguire,0.976
Gweneth Paltrow,Gwyneth Paltrow,0.941
Joaquim Phoenix,Joaquin Phoenix,0.93
Oliver Platt,Oliver Platt,1
Bradley Cooper,Bradley Cooper,1
Robert De Niro,Robert De Niro,1
Halie Berry,Halle Berry,0.956
Javier Bardem,Javier Bardem,1
Christopher Plummer,Christopher Plummer,1
David hasselhoff,David Hasselhoff,1
ewan mcgregor,Ewan McGregor,1
richard gere,Richard Gere,1
Jim belushi,Jim Belushi,1
William hurt,William Hurt,1
kim bassinger,Kim Basinger,0.868
Kiera knightly ,Keira Knightley,0.893
jamie lee Curtis ,Jamie Lee Curtis,1
Meryl Streep ,Meryl Streep,1
John Hawkes ,John Hawkes,1
Clint Eastwood ,Clint Eastwood,1
Angelina Jolie ,Angelina Jolie,1
Elijah wood ,Elijah Wood,1
PaulNewman,Paul Newman,1
Hugh Grant,Hugh Grant,1
Reese WItherspoon,Reese Witherspoon,1
Michael Fasbender,Michael Fassbender,0.993
Alan Arkin,Alan Arkin,1
Nicole Kiddman,Nicole Kidman,0.993
Francis Mcdormand,Frances McDormand,0.898
Dan Akyroyd,Dan Aykroyd,0.983
Stanley Tucci,Stanley Tucci,1
Christoph Waltz,Christoph Waltz,1
Paul Rudd,Paul Rudd,1
Alan Rickman,Alan Rickman,1
Toni Colette,Toni Collette,0.99
Liv Tyler,Liv Tyler,1
Michael Shannon\,Michael Shannon,0.999
Nathan Lane,Nathan Lane,1
Hugh Grant,Hugh Grant,1
Burt Reynolds ,Burt Reynolds,1
robin Williams,Robin Williams,1
Sylvester Stalone ,Sylvester Stallone,0.992
dustin Hoffman ,Dustin Hoffman,1
robert Redford ,Robert Redford,1
Amy Adams ,Amy Adams,1
Toni colette,Toni Collette,0.951
drew Barrymore ,Drew Barrymore,1
Harrison ford,Harrison Ford,1
Demi Moore ,Demi Moore,1
John c reily,John C. Reilly,0.903
Malcolm MacDowell ,Malcolm McDowell,0.981
Woody allen,Woody Allen,1
Brooke shields ,Brooke Shields,1
Matt Daemon,Matt Damon,0.989
Will Smith,Will Smith,1
COlin Firth,Colin Firth,1
ALan Rickman,Alan Rickman,1
Nicole Kidman,Nicole Kidman,1
Mark Wahlberg,Mark Wahlberg,1
Kevin James,Kevin James,1
Martin Sheen,Martin Sheen,1
Jonah Hill,Jonah Hill,1
Helen Mirren,Helen Mirren,1
Roy Schnider,Roy Scheider,0.964
Morgan Freeman,Morgan Freeman,1
Patricia Arquette,Patricia Arquette,1
Owen Wilson,Owen Wilson,1
Sharon Stone,Sharon Stone,1
Glenn Close,Glenn Close,1
Zack Galafanakis,Zach Galifianakis,0.898
Robert Duval,Robert Duvall,0.998
Vanessa Redgrave,Vanessa Redgrave,1
Charlise Theron,Charlize Theron,0.973
Peter Gallagher,Peter Gallagher,1
Daryl Hannah,Daryl Hannah,1
Adrien Brody,Adrien Brody,1
Rachel Mcadams,Rachel McAdams,1
Anette Benning,Annette Bening,0.937
Liv Tyler,Liv Tyler,1
Emma Watson,Emma Watson,1
Keane Reeves,Keanu Reeves,0.923
Marion Cotilard,Marion Cotillard,0.995
